Ticker,Price_Date,Statement_Date,Availability_Date,Period_Type,WACC_Mode,No_Lookahead_Pass,Days_Since_Available,Price,FCF,Shares,WACC,Net_Debt,Actual_Revenue_Growth,Implied_Growth_Rate,Signal_Score,Intrinsic_Value,Losing_Buy_Rounds,Buy_Ban_Active,Rebalance_Date,Universe_Count,Eligible_Count,Excluded_Count,Case_Name,Top_N_Requested,Stop_Loss_Pct,Target_End_Date,End_Date,End_Price_Date,End_Price,Exit_Reason,Stop_Loss_Hit,Stop_Loss_Trigger_Price,Forward_Return,Benchmark_Return,Active_Return,Horizon_Months
KSL.BK,2022-09-30,2022-07-31,2022-09-14,quarterly,fixed,True,16,3.539855718612671,3890000000.0,4410232619.0,0.06,16461837336.0,0.3084446564885497,-0.1724700927734375,0.4809147492619872,3.540772036348308,1,False,2022-09-30,100,42,58,baseline,10,0.0,2023-03-30,2023-03-30,2023-03-30,2.8733060359954834,horizon_end,False,0.0,-0.1882985453651257,0.010009395399802168,-0.19830794076492786,6
MINT.BK,2022-09-30,2022-06-30,2022-08-14,quarterly,fixed,True,47,24.926244735717773,5936000000.0,5275014831.0,0.06,185830843779.0,0.587592509809765,0.12522506713867188,0.4623674426710931,24.92564646763172,0,False,2022-09-30,100,42,58,baseline,10,0.0,2023-03-30,2023-03-30,2023-03-30,29.864465713500977,horizon_end,False,0.0,0.19811331510787245,0.010009395399802168,0.18810391970807028,6
BRR.BK,2022-09-30,2022-06-30,2022-08-14,quarterly,fixed,True,47,7.169782638549805,775090000.0,812099845.0,0.06,4599684231.0,0.2798372513562386,-0.0978546142578125,0.3776918656140511,7.168985691338949,1,False,2022-09-30,100,42,58,baseline,10,0.0,2023-03-30,2023-03-30,2023-03-30,5.085543155670166,horizon_end,False,0.0,-0.2906977223651521,0.010009395399802168,-0.3007071177649543,6
IVL.BK,2022-09-30,2022-06-30,2022-08-14,quarterly,fixed,True,47,34.79447937011719,23202000000.0,5614552000.0,0.06,233102181000.0,0.2707186455902066,-0.048539161682128906,0.3192578072723355,34.7942831206667,1,False,2022-09-30,100,42,58,baseline,10,0.0,2023-03-30,2023-03-30,2023-03-30,31.30268287658692,horizon_end,False,0.0,-0.10035489987900648,0.010009395399802168,-0.11036429527880864,6
TOP.BK,2022-09-30,2022-06-30,2022-08-14,quarterly,fixed,True,47,41.01234817504883,12246000000.0,2233835566.0,0.06,155444425356.0,0.2566328402005136,-0.03461742401123047,0.29125026421174405,41.01189306153138,0,False,2022-09-30,100,42,58,baseline,10,0.0,2023-03-30,2023-03-30,2023-03-30,45.33945846557617,horizon_end,False,0.0,0.10550749915753133,0.010009395399802168,0.09549810375772916,6
SPRC.BK,2022-09-30,2022-06-30,2022-08-14,quarterly,fixed,True,47,9.130155563354492,3415000000.0,4335902125.0,0.06,9655025185.0,0.1856803096485364,-0.0870513916015625,0.27273170125009893,9.13091323944647,0,False,2022-09-30,100,42,58,baseline,10,0.0,2023-03-30,2023-03-30,2023-03-30,9.60330581665039,horizon_end,False,0.0,0.051822803019367036,0.010009395399802168,0.04181340761956487,6
PRIN.BK,2022-09-30,2022-06-30,2022-08-14,quarterly,fixed,True,47,2.6257715225219727,60190000.0,1220011755.0,0.06,4938978545.0,0.5046770696032994,0.291748046875,0.2129290227282994,2.625432512392034,0,False,2022-09-30,100,42,58,baseline,10,0.0,2023-03-30,2023-03-30,2023-03-30,2.9800000190734863,horizon_end,False,0.0,0.13490453891863674,0.010009395399802168,0.12489514351883457,6
LH.BK,2022-09-30,2022-06-30,2022-08-14,quarterly,fixed,True,47,7.276353359222412,5513000000.0,11949713176.0,0.06,57788071876.0,0.2107501933488011,0.0073394775390625,0.2034107158097386,7.276034173632924,0,False,2022-09-30,100,42,58,baseline,10,0.0,2023-03-30,2023-03-30,2023-03-30,8.012166023254395,horizon_end,False,0.0,0.10112382229202455,0.010009395399802168,0.09111442689222238,6
BCPG.BK,2022-09-30,2022-06-30,2022-08-14,quarterly,fixed,True,47,7.998197555541992,801340000.0,2907688000.0,0.06,5748058784.0,0.2400690846286701,0.059661865234375,0.1804072193942951,7.997398294172039,0,False,2022-09-30,100,42,58,baseline,10,0.0,2023-03-30,2023-03-30,2023-03-30,8.754988670349121,horizon_end,False,0.0,0.09462020780953884,0.010009395399802168,0.08461081240973667,6
PSL.BK,2022-09-30,2022-06-30,2022-08-14,quarterly,fixed,True,47,11.66154670715332,891520000.0,1559291862.0,0.06,5668175318.0,0.1468654099079351,0.01038360595703125,0.13648180395090384,11.661678260942246,2,False,2022-09-30,100,42,58,baseline,10,0.0,2023-03-30,2023-03-30,2023-03-30,11.89970588684082,horizon_end,False,0.0,0.02042260650908423,0.010009395399802168,0.010413211109282061,6
