Ticker,Price_Date,Statement_Date,Availability_Date,Period_Type,WACC_Mode,No_Lookahead_Pass,Days_Since_Available,Price,FCF,Shares,WACC,Net_Debt,Actual_Revenue_Growth,Implied_Growth_Rate,Signal_Score,Intrinsic_Value,Rebalance_Date,Universe_Count,Excluded_Count,End_Date,End_Price_Date,End_Price,Forward_Return,Benchmark_Return,Active_Return,Horizon_Months
AOT.BK,2024-04-01,2023-09-30,2023-11-14,annual,fixed,True,139,63.69542694091797,5269658894.0,14285700000.0,0.06,55384119007.0,1.907056030363309,0.48462677001953125,1.4224292603437778,63.69558858716057,2024-04-01,50,15,2025-04-01,2025-04-01,37.92250061035156,-0.4046275779652537,-0.15328961922712747,-0.25133795873812625,12
BBL.BK,2024-04-01,2023-12-31,2024-02-14,annual,fixed,True,47,124.49742126464844,110058999000.0,1908843000.0,0.06,473061020000.0,0.2352337042234515,-0.2644948959350586,0.49972860015851006,124.49744597153425,2024-04-01,50,15,2025-04-01,2025-04-01,138.90237426757812,0.11570483032181511,-0.15328961922712747,0.2689944495489426,12
MINT.BK,2024-04-01,2023-12-31,2024-02-14,annual,fixed,True,47,31.52787208557129,29240934690.0,5479000000.0,0.06,183214623848.0,0.2237967270720304,-0.15066909790039062,0.37446582497242104,31.52716968676083,2024-04-01,50,15,2025-04-01,2025-04-01,25.317798614501957,-0.19697090416423535,-0.15328961922712747,-0.04368128493710788,12
CPN.BK,2024-04-01,2023-12-31,2024-02-14,annual,fixed,True,47,58.414947509765625,19898007759.0,4488000000.0,0.06,120154806799.0,0.2821903946987536,-0.062286376953125,0.3444767716518786,58.41535516949718,2024-04-01,50,15,2025-04-01,2025-04-01,46.47528839111328,-0.20439390306147776,-0.15328961922712747,-0.051104283834350284,12
CCET.BK,2024-04-01,2023-12-31,2024-02-14,annual,fixed,True,47,2.294170379638672,11651127561.0,6428153000.0,0.06,17417417506.0,-0.1238979823102164,-0.4051513671875,0.2812533848772836,2.294537168389102,2024-04-01,50,15,2025-04-01,2025-04-01,5.627192974090576,1.4528226081346451,-0.15328961922712747,1.6061122273617725,12
OR.BK,2024-04-01,2023-12-31,2024-02-14,annual,fixed,True,47,16.848590850830078,28829293622.0,12058768179.0,0.06,-15560274183.0,-0.0253790588577904,-0.263153076171875,0.2377740173140846,16.84904292077505,2024-04-01,50,15,2025-04-01,2025-04-01,11.395051956176758,-0.32367922890029943,-0.15328961922712747,-0.17038960967317196,12
AWC.BK,2024-04-01,2023-12-31,2024-02-14,annual,fixed,True,47,3.952580213546753,2690072194.0,32013716000.0,0.06,70540783275.0,0.463910372843862,0.23699951171875,0.226910861125112,3.9524891875102224,2024-04-01,50,15,2025-04-01,2025-04-01,2.395454406738281,-0.3939517284106482,-0.15328961922712747,-0.2406621091835207,12
CENTEL.BK,2024-04-01,2023-12-31,2024-02-14,annual,fixed,True,47,41.344913482666016,2807020487.0,1350000000.0,0.06,24586374912.0,0.231912841496547,0.020259857177734375,0.21165298431881263,41.345392707088465,2024-04-01,50,15,2025-04-01,2025-04-01,28.55970001220703,-0.3092330444909318,-0.15328961922712747,-0.15594342526380434,12
TISCO.BK,2024-04-01,2023-12-31,2024-02-14,annual,fixed,True,47,84.88508605957031,7261251000.0,800655000.0,0.06,18471289000.0,0.0553973029748231,-0.15485477447509766,0.21025207744992075,84.88499432375342,2024-04-01,50,15,2025-04-01,2025-04-01,91.02481079101562,0.07232984045202717,-0.15328961922712747,0.22561945967915464,12
CPALL.BK,2024-04-01,2023-12-31,2024-02-14,annual,fixed,True,47,52.15341567993164,58828831358.0,8983000000.0,0.06,360292526701.0,0.0798242383212359,-0.12302017211914062,0.20284441044037654,52.15385965364219,2024-04-01,50,15,2025-04-01,2025-04-01,48.68292999267578,-0.06654378513872261,-0.15328961922712747,0.08674583408840486,12
