Rebalance_Date,Horizon_Months,Top_N,Portfolio_Return,Benchmark_Return,Active_Return,Hit,Universe_Count,Eligible_Count,Excluded_Count,Turnover
2023-03-31,3,10,-0.026417392223654544,-0.06591600978310264,0.03949861755944809,True,50,30,20,0.0
2023-03-31,6,10,-0.03285421282601998,-0.08559691423080962,0.052742701404789635,True,50,30,20,0.0
2023-03-31,12,10,-0.0767945412838121,-0.14369525670024275,0.06690071541643064,True,50,30,20,0.0
2023-06-30,3,10,-0.006068101062997433,-0.021069737468829675,0.015001636405832242,True,50,30,20,0.0
2023-06-30,6,10,-0.035870852503070504,-0.05804670442229787,0.022175851919227364,True,50,30,20,0.0
2023-06-30,12,10,-0.09152897493723919,-0.13448208231767111,0.042953107380431926,True,50,30,20,0.0
2023-10-02,3,10,-0.014871271248860164,-0.036482780597410724,0.02161150934855056,True,50,30,20,0.09999999999999998
2023-10-02,6,10,-0.03690126830217215,-0.061246990317845085,0.024345722015672935,True,50,30,20,0.09999999999999998
2023-10-02,12,10,0.02145747263067608,-0.012290186193243069,0.03374765882391915,True,50,30,20,0.09999999999999998
2024-01-03,3,10,-0.03848340637593924,-0.037723348788582634,-0.0007600575873566093,False,50,31,19,0.19999999999999996
2024-01-03,6,10,-0.09005146839893231,-0.0943747600104411,0.004323291611508781,True,50,31,19,0.19999999999999996
2024-01-03,12,10,-0.025323774078994277,-0.03137895769839538,0.0060551836194011055,True,50,31,19,0.19999999999999996
2024-04-01,3,10,-0.003947247716187685,-0.05808710964807495,0.054139861931887266,True,50,35,15,0.6
2024-04-01,6,10,0.09167745955185028,0.06174794481757773,0.02992951473427255,True,50,35,15,0.6
2024-04-01,12,10,-0.025854289322308144,-0.15328961922712747,0.12743532990481932,True,50,35,15,0.6
2024-07-01,3,10,0.09965829523165279,0.12722519852221037,-0.02756690329055758,False,50,35,15,0.0
2024-07-01,6,10,0.1536500870955521,0.07762341728299949,0.07602666981255263,True,50,35,15,0.0
2024-07-01,12,10,-0.12779985903908828,-0.14571898978558895,0.017919130746500672,True,50,35,15,0.0
2024-09-30,3,10,0.08365577070521181,-0.03355811005563736,0.11721388076084917,True,50,35,15,0.0
2024-09-30,6,10,-0.11469202265897586,-0.18869019358714412,0.07399817092816825,True,50,35,15,0.0
2024-09-30,12,10,-0.09823980061679893,-0.12055238875995622,0.022312588143157286,True,50,35,15,0.0
2025-01-02,3,8,-0.21922435506675192,-0.15013228817989388,-0.06909206688685804,False,50,8,42,1.0
2025-01-02,6,8,-0.1889138945081263,-0.19144112682794734,0.002527232319821049,True,50,8,42,1.0
2025-01-02,12,8,-0.049298431682751276,-0.08709637552415217,0.037797943841400894,True,50,8,42,1.0
2025-03-31,3,10,-0.08637508264851337,-0.059174942577125744,-0.02720014007138763,False,50,36,14,1.0
2025-03-31,6,10,0.09282376390730564,0.10023407641113335,-0.007410312503827718,False,50,36,14,1.0
2025-03-31,12,10,0.22372302187215168,0.25045554092394995,-0.02673251905179827,False,50,36,14,1.0
2025-06-30,3,10,0.3379799902388821,0.16943534584943487,0.16854464438944722,True,50,36,14,0.7
2025-06-30,6,10,0.2652659737762588,0.1561272221846277,0.10913875159163111,True,50,36,14,0.7
2025-06-30,12,10,0.34126336908833965,0.38298017987657174,-0.041716810788232084,False,50,36,14,0.7
2025-09-30,3,10,0.04008757788436553,-0.011379956756087717,0.05146753464045325,True,50,40,10,0.7
2025-09-30,6,10,0.062125541933747155,0.1376974384271472,-0.07557189649340006,False,50,40,10,0.7
2025-09-30,12,10,0.08780597588575281,0.1826050792675724,-0.0947991033818196,False,50,40,10,0.7
2026-01-05,3,10,0.05255946089342341,0.13589308584545168,-0.08333362495202827,False,50,33,17,0.7
2026-01-05,6,10,0.0885147970569287,0.17717269508314293,-0.08865789802621422,False,50,33,17,0.7
2026-01-05,12,10,0.0885147970569287,0.17717269508314293,-0.08865789802621422,False,50,33,17,0.7
2026-03-31,3,10,0.018744128105098345,0.0405347207991662,-0.021790592694067856,False,50,38,12,0.6
2026-03-31,6,10,0.018744128105098345,0.0405347207991662,-0.021790592694067856,False,50,38,12,0.6
2026-03-31,12,10,0.018744128105098345,0.0405347207991662,-0.021790592694067856,False,50,38,12,0.6
