Ticker,Price_Date,Statement_Date,Availability_Date,Period_Type,WACC_Mode,No_Lookahead_Pass,Days_Since_Available,Price,FCF,Shares,WACC,Net_Debt,Actual_Revenue_Growth,Implied_Growth_Rate,Signal_Score,Intrinsic_Value,Losing_Buy_Rounds,Buy_Ban_Active,Rebalance_Date,Universe_Count,Eligible_Count,Excluded_Count,Case_Name,Top_N_Requested,Stop_Loss_Pct,Target_End_Date,End_Date,End_Price_Date,End_Price,Exit_Reason,Stop_Loss_Hit,Stop_Loss_Trigger_Price,Forward_Return,Benchmark_Return,Active_Return,Horizon_Months
KSL.BK,2022-09-30,2022-07-31,2022-09-14,quarterly,fixed,True,16,3.539855718612671,3890000000.0,4410232619.0,0.08,16461837336.0,0.3084446564885497,-0.11236572265625,0.4208103791447997,3.540530403533833,1,False,2022-09-30,100,40,60,baseline,10,0.0,2023-09-30,2023-09-29,2023-09-29,2.5970265865325928,horizon_end,False,0.0,-0.26634676863315454,-0.07428701633159174,-0.1920597523015628,12
MINT.BK,2022-09-30,2022-06-30,2022-08-14,quarterly,fixed,True,47,24.926244735717773,5936000000.0,5275014831.0,0.08,185830843779.0,0.587592509809765,0.2125263214111328,0.37506618839863215,24.92676242879617,0,False,2022-09-30,100,40,60,baseline,10,0.0,2023-09-30,2023-09-29,2023-09-29,29.855939865112305,horizon_end,False,0.0,0.19777127207334932,-0.07428701633159174,0.27205828840494106,12
BRR.BK,2022-09-30,2022-06-30,2022-08-14,quarterly,fixed,True,47,7.169782638549805,775090000.0,812099845.0,0.08,4599684231.0,0.2798372513562386,-0.0304718017578125,0.3103090531140511,7.170215827466328,2,False,2022-09-30,100,40,60,baseline,10,0.0,2023-09-30,2023-09-29,2023-09-29,4.468607902526856,horizon_end,False,0.0,-0.37674429926222996,-0.07428701633159174,-0.3024572829306382,12
IVL.BK,2022-09-30,2022-06-30,2022-08-14,quarterly,fixed,True,47,34.79447937011719,23202000000.0,5614552000.0,0.08,233102181000.0,0.2707186455902066,0.02342987060546875,0.24728877498473784,34.7944229715558,1,False,2022-09-30,100,40,60,baseline,10,0.0,2023-09-30,2023-09-29,2023-09-29,24.087383270263672,horizon_end,False,0.0,-0.3077239922448495,-0.07428701633159174,-0.23343697591325774,12
TOP.BK,2022-09-30,2022-06-30,2022-08-14,quarterly,fixed,True,47,41.01234817504883,12246000000.0,2233835566.0,0.08,155444425356.0,0.2566328402005136,0.03862762451171875,0.21800521568879483,41.01257434012311,0,False,2022-09-30,100,40,60,baseline,10,0.0,2023-09-30,2023-09-29,2023-09-29,43.77859878540039,horizon_end,False,0.0,0.06744921306492024,-0.07428701633159174,0.14173622939651198,12
SPRC.BK,2022-09-30,2022-06-30,2022-08-14,quarterly,fixed,True,47,9.130155563354492,3415000000.0,4335902125.0,0.08,9655025185.0,0.1856803096485364,-0.0186614990234375,0.2043418086719739,9.131122509352705,0,False,2022-09-30,100,40,60,baseline,10,0.0,2023-09-30,2023-09-29,2023-09-29,7.944552421569824,horizon_end,False,0.0,-0.12985574381046672,-0.07428701633159174,-0.05556872747887498,12
LH.BK,2022-09-30,2022-06-30,2022-08-14,quarterly,fixed,True,47,7.276353359222412,5513000000.0,11949713176.0,0.08,57788071876.0,0.2107501933488011,0.084381103515625,0.1263690898331761,7.276769255904047,0,False,2022-09-30,100,40,60,baseline,10,0.0,2023-09-30,2023-09-29,2023-09-29,6.779745578765869,horizon_end,False,0.0,-0.06824954148593099,-0.07428701633159174,0.006037474845660751,12
PRIN.BK,2022-09-30,2022-06-30,2022-08-14,quarterly,fixed,True,47,2.6257715225219727,60190000.0,1220011755.0,0.08,4938978545.0,0.5046770696032994,0.392913818359375,0.11176325124392439,2.626392146351213,0,False,2022-09-30,100,40,60,baseline,10,0.0,2023-09-30,2023-09-29,2023-09-29,3.0,horizon_end,False,0.0,0.14252134059196142,-0.07428701633159174,0.21680835692355316,12
BCPG.BK,2022-09-30,2022-06-30,2022-08-14,quarterly,fixed,True,47,7.998197555541992,801340000.0,2907688000.0,0.08,5748058784.0,0.2400690846286701,0.141326904296875,0.0987421803317951,7.998304629113685,0,False,2022-09-30,100,40,60,baseline,10,0.0,2023-09-30,2023-09-29,2023-09-29,8.57374382019043,horizon_end,False,0.0,0.07195949595539042,-0.07428701633159174,0.14624651228698216,12
PSL.BK,2022-09-30,2022-06-30,2022-08-14,quarterly,fixed,True,47,11.66154670715332,891520000.0,1559291862.0,0.08,5668175318.0,0.1468654099079351,0.087677001953125,0.05918840795481009,11.660869391647765,2,False,2022-09-30,100,40,60,baseline,10,0.0,2023-09-30,2023-09-29,2023-09-29,8.613964080810547,horizon_end,False,0.0,-0.2613360562603032,-0.07428701633159174,-0.18704903992871147,12
