Ticker,Price_Date,Statement_Date,Availability_Date,Period_Type,WACC_Mode,No_Lookahead_Pass,Days_Since_Available,Price,FCF,Shares,WACC,Net_Debt,Actual_Revenue_Growth,Implied_Growth_Rate,Signal_Score,Intrinsic_Value,Rebalance_Date,Universe_Count,Excluded_Count,End_Date,End_Price_Date,End_Price,Forward_Return,Benchmark_Return,Active_Return,Horizon_Months
TTB.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,1.1584171056747437,46553409000.0,97094000000.0,0.08,128908496000.0,0.0,-0.2344970703125,0.2344970703125,1.1578439939054004,2023-03-31,50,20,2023-09-30,2023-09-29,1.4563865661621094,0.2572212193929986,-0.08559691423080962,0.3428181336238082,6
IVL.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,31.07748413085937,49420150000.0,5614552000.0,0.08,233102181000.0,0.0,-0.14482688903808594,0.14482688903808594,31.076946825207653,2023-03-31,50,20,2023-09-30,2023-09-29,24.08738136291504,-0.22492498873173872,-0.08559691423080962,-0.1393280745009291,6
BBL.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,131.53057861328125,70786130000.0,1908843000.0,0.08,366617301000.0,0.0,-0.1336231231689453,0.1336231231689453,131.53004347278952,2023-03-31,50,20,2023-09-30,2023-09-29,150.02386474609375,0.14060065976890002,-0.08559691423080962,0.22619757399970963,6
MINT.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,30.33477210998535,25119683220.0,5314000000.0,0.08,185830843779.0,0.0,-0.039478302001953125,0.039478302001953125,30.334081861285743,2023-03-31,50,20,2023-09-30,2023-09-29,29.855939865112305,-0.01578492968850853,-0.08559691423080962,0.06981198454230109,6
ADVANC.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,178.1399383544922,38046594290.0,2974000000.0,0.08,119401689939.0,0.0,0.005724430084228516,-0.005724430084228516,178.13955380955832,2023-03-31,50,20,2023-09-30,2023-09-29,195.08372497558597,0.09511503583983649,-0.08559691423080962,0.1807119500706461,6
SCGP.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,42.377418518066406,10048042000.0,4296744444.0,0.08,40203034000.0,0.0,0.06317520141601562,-0.06317520141601562,42.377625510728976,2023-03-31,50,20,2023-09-30,2023-09-29,35.539451599121094,-0.16135874147289408,-0.08559691423080962,-0.07576182724208447,6
TOP.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,44.91173553466797,11142603471.0,2090000000.0,0.08,155444425356.0,0.0,0.06572723388671875,-0.06572723388671875,44.91088712494215,2023-03-31,50,20,2023-09-30,2023-09-29,43.77859878540039,-0.025230304190602793,-0.08559691423080962,0.060366610040206825,6
CPALL.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,58.64326477050781,39616981354.0,8983000000.0,0.08,375458052407.0,0.0,0.069732666015625,-0.069732666015625,58.643200478684875,2023-03-31,50,20,2023-09-30,2023-09-29,57.89507293701172,-0.012758359147022946,-0.08559691423080962,0.07283855508378667,6
EGCO.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,131.3135528564453,6318215000.0,526465000.0,0.08,77952903000.0,0.0,0.0747065544128418,-0.0747065544128418,131.31386044182292,2023-03-31,50,20,2023-09-30,2023-09-29,104.73908233642578,-0.20237416429567856,-0.08559691423080962,-0.11677725006486894,6
BJC.BK,2023-03-31,2022-12-31,2023-02-14,annual,fixed,True,45,35.06106185913086,12572607944.0,4007797000.0,0.08,160517182412.0,0.0,0.08110809326171875,-0.08110809326171875,35.06133680049074,2023-03-31,50,20,2023-09-30,2023-09-29,28.78346443176269,-0.17904755573548925,-0.08559691423080962,-0.09345064150467963,6
